0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
_____,,,,,,,,,
,,,,,,,,,
See the disclaimer and user manual,,,,,,,,,
,,,,,,,,,
5/28/2019,9/22/2020,1/1/2021,Definitive,x,,,,,
6/27/2024,,,Provisional,x,,,,,
6/7/2017,9/29/2021,1/1/2022,Definitive,,,,,,
6/7/2017,,,Provisional,,,,,,
6/7/2017,9/25/2023,1/1/2024,Definitive,,,,,,
6/7/2017,9/26/2018,1/1/2019,Definitive,,,,x,,
6/7/2017,9/22/2017,7/1/2018,Definitive,x,,,,,
11/20/2023,9/24/2024,1/1/2025,Definitive,x,,,,,
11/27/2020,2/23/2022,6/1/2022,Definitive,x,,,,,
1/24/2018,12/21/2020,4/1/2021,Definitive,x,,,,,
6/7/2017,6/26/2019,10/1/2019,Definitive,,,,,,
1/11/2019,4/7/2022,8/1/2022,Definitive,x,,,,,
10/30/2019,9/16/2020,1/1/2021,Definitive,x,,,,,
6/7/2017,9/16/2022,1/1/2023,Definitive,x,,,,,
6/7/2017,10/30/2020,2/1/2021,Definitive,x,,,,,
7/11/2017,4/21/2022,8/1/2022,Definitive,x,,,,,
6/7/2017,8/29/2019,12/1/2019,Definitive,x,,,,,
6/7/2017,11/26/2020,3/1/2021,Definitive,,x,,,,
6/7/2017,5/25/2022,9/1/2022,Definitive,x,,,,,
6/7/2017,,,Provisional,x,,,,,
6/7/2017,9/22/2020,1/1/2021,Definitive,x,,,,,
1/24/2018,9/25/2023,1/1/2024,Definitive,x,,,,,
6/7/2017,2/18/2021,6/1/2021,Definitive,,,,,,
6/7/2017,3/29/2019,7/1/2019,Definitive,x,,,,,
6/7/2017,1/23/2020,5/1/2020,Definitive,x,,,,,
6/7/2017,5/13/2020,9/1/2020,Definitive,x,,,,,
9/19/2024,,,Provisional,,,,,,
6/7/2017,9/30/2019,1/1/2020,Definitive,,,,,,
