Country,Date1,Date2,Date3,Status,Extra1,Extra2,Extra3,Extra4,Extra5
Bahrain,11/27/2020,2/23/2022,06-01-2022,Definitive,x,,,,
Barbados,1/24/2018,12/21/2020,04-01-2021,Definitive,x,,,,
Belgium,06-07-2017,6/26/2019,10-01-2019,Definitive,,,,,
Belize,01-11-2019,04-07-2022,08-01-2022,Definitive,x,,,,
Bosnia and Herzegovina,10/30/2019,9/16/2020,01-01-2021,Definitive,x,,,,
Bulgaria,06-07-2017,9/16/2022,01-01-2023,Definitive,x,,,,
Burkina Faso,06-07-2017,10/30/2020,02-01-2021,Definitive,x,,,,
Cameroon,07-11-2017,4/21/2022,08-01-2022,Definitive,x,,,,
Canada,06-07-2017,8/29/2019,12-01-2019,Definitive,x,,,,
Chile,06-07-2017,11/26/2020,03-01-2021,Definitive,,x,,,
China (People's Republic of),06-07-2017,5/25/2022,09-01-2022,Definitive,x,,,,
Colombia,06-07-2017,,,Provisional,x,,,,
Costa Rica,06-07-2017,9/22/2020,01-01-2021,Definitive,x,,,,
Côte d'Ivoire,1/24/2018,9/25/2023,01-01-2024,Definitive,x,,,,
Croatia,06-07-2017,2/18/2021,06-01-2021,Definitive,,,,,
Curaçao,06-07-2017,3/29/2019,07-01-2019,Definitive,x,,,,
Cyprus,06-07-2017,1/23/2020,05-01-2020,Definitive,x,,,,
Czechia,06-07-2017,5/13/2020,09-01-2020,Definitive,x,,,,
Democratic Republic of the Congo,9/19/2024,,,Provisional,,,,,
Denmark,06-07-2017,9/30/2019,01-01-2020,Definitive,,,,,
Egypt,06-07-2017,9/30/2020,01-01-2021,Definitive,x,,,,
Estonia,6/29/2018,1/15/2021,05-01-2021,Definitive,x,,,,
Eswatini,9/27/2023,,,Provisional,,,,,
Fiji,06-07-2017,,,Provisional,,,,,
Finland,06-07-2017,2/25/2019,06-01-2019,Definitive,x,,,,
France,06-07-2017,9/26/2018,01-01-2019,Definitive,x,,,,
Gabon,06-07-2017,,,To Be Confirmed,x,,,,
Georgia,06-07-2017,3/29/2019,07-01-2019,Definitive,x,,,,
Germany,06-07-2017,12/18/2020,04-01-2021,Definitive,x,,,,
