Jurisdiction,Signature Date,Deposit Ratification Instrument,Entry into Force,Status
Albania,5/28/2019,9/22/2020,01-01-2021,Definitive
Algeria,6/27/2024,,,Provisional
Andorra,06-07-2017,9/29/2021,01-01-2022,Definitive
Argentina,06-07-2017,,,Provisional
Armenia,06-07-2017,9/25/2023,01-01-2024,Definitive
Australia,06-07-2017,9/26/2018,01-01-2019,Definitive
Austria,06-07-2017,9/22/2017,07-01-2018,Definitive
Azerbaijan,11/20/2023,9/24/2024,01-01-2025,Definitive
Bahrain,11/27/2020,2/23/2022,06-01-2022,Definitive
Barbados,1/24/2018,12/21/2020,04-01-2021,Definitive
Belgium,06-07-2017,6/26/2019,10-01-2019,Definitive
Belize,01-11-2019,04-07-2022,08-01-2022,Definitive
Bosnia and Herzegovina,10/30/2019,9/16/2020,01-01-2021,Definitive
Bulgaria,06-07-2017,9/16/2022,01-01-2023,Definitive
Burkina Faso,06-07-2017,10/30/2020,02-01-2021,Definitive
Cameroon,07-11-2017,4/21/2022,08-01-2022,Definitive
Canada,06-07-2017,8/29/2019,12-01-2019,Definitive
Chile,06-07-2017,11/26/2020,03-01-2021,Definitive
China (People's Republic of),06-07-2017,5/25/2022,09-01-2022,Definitive
Colombia,06-07-2017,,,Provisional
Costa Rica,06-07-2017,9/22/2020,01-01-2021,Definitive
Côte d'Ivoire,1/24/2018,9/25/2023,01-01-2024,Definitive
Croatia,06-07-2017,2/18/2021,06-01-2021,Definitive
Curaçao,06-07-2017,3/29/2019,07-01-2019,Definitive
Cyprus,06-07-2017,1/23/2020,05-01-2020,Definitive
Czechia,06-07-2017,5/13/2020,09-01-2020,Definitive
Democratic Republic of the Congo,9/19/2024,,,Provisional
Denmark,06-07-2017,9/30/2019,01-01-2020,Definitive
Egypt,06-07-2017,9/30/2020,01-01-2021,Definitive
Estonia,6/29/2018,1/15/2021,05-01-2021,Definitive
Eswatini,9/27/2023,,,Provisional
Fiji,06-07-2017,,,Provisional
Finland,06-07-2017,2/25/2019,06-01-2019,Definitive
